light_id,light_x,light_y
0,1.2,-6.6
1,3.6,-6.6
2,9.4,-6.6
3,15.1,-6.6
4,17.5,-6.6
5,23.5,-6.6
6,25.9,-6.6
7,31.9,-6.6
8,39.3,-1.2
9,39.3,1.2
10,39.3,7.2
11,39.3,9.6
12,39.3,15.6
13,39.3,18
14,39.3,24
15,39.3,26.4
16,39.3,32.4
17,39.3,34.8
18,26.7,7.2
19,26.7,9.6
20,26.7,15.6
21,26.7,18
22,26.7,24
23,26.7,26.4
24,31.9,40.2
25,25.9,40.2
26,23.5,40.2
27,17.5,40.2
28,15.1,40.2
29,9.4,40.2
30,9.4,26.4
31,9.4,24
32,9.4,18
33,9.4,15.6
34,9.4,9.6
35,9.4,7.2
36,21.7,26.4
37,21.7,24
38,21.7,18
39,21.7,15.6
40,21.7,9.6
41,21.7,7.2
