light_id,light_x,light_y
1,20.5,91
2,25.1,91
3,36.1,91
4,40.8,91
5,45.4,91
6,52.3,91
7,59,91
8,63.6,91
9,68.2,91
10,79.2,91
11,84,91
12,88.8,84.5
13,88.8,77.7
14,88.8,70.7
15,34,79.2
16,42.1,79.2
17,50.2,79.2
18,58.3,79.2
19,66.4,79.2
20,74.5,79.2
21,34,74.2
22,42.1,74.2
23,50.2,74.2
24,58.3,74.2
25,66.4,74.2
26,74.5,74.2
27,34,63
28,42.1,63
29,50.2,63
30,58.3,63
31,66.4,63
32,74.5,63
33,82.6,63
34,34,58
35,42.1,58
36,50.2,58
37,58.3,58
38,66.4,58
39,74.5,58
40,83.9,58
41,93.4,58
42,106.9,58
43,34,46.8
44,42.1,46.8
45,50.2,46.8
46,58.3,46.8
47,66.4,46.8
48,74.5,46.8
49,82.6,46.8
50,90.7,46.8
51,98.8,46.8
52,34,41.8
53,42.1,41.8
54,50.2,41.8
55,58.3,41.8
56,66.4,41.8
57,74.5,41.8
58,82.6,41.8
59,90.7,41.8
60,98.8,41.8
61,112.2,54.3
62,112.2,49.9
63,112.2,44
64,112.2,40
65,50.2,30.6
66,58.3,30.6
67,66.4,30.6
68,50.2,13.7
69,58.3,13.7
70,50.2,8.7
71,58.3,8.7
72,66.4,8.7
73,43.3,-2.3
74,50.2,-2.3
75,58.3,-2.3
76,2.8,45
77,9.6,45
78,17.5,45
79,2.8,33.5
80,17.5,33.5
81,106.9,30.6
